work_0,idel_0,heavy_0,work_1,idel_1,heavy_1,work_2,idel_2,heavy_2,work_3,idel_3,heavy_3,chunktime,total_idel,total_heavy
0.0488663,8.6497515e-05,1200,0.0078971,0.041055698,0,0.0079054,0.041047398,0,0.0081295,0.0408233,0,0.0489528,0.123012885,1200
0.048895,8.3398074e-05,1200,0.0079344,0.041044,0,0.0079372,0.0410412,0,0.008041,0.0409374,0,0.0489784,0.123105995,1200
0.0490777,9.059906e-05,1200,0.0079717,0.0411966,0,0.0080374,0.0411309,0,0.0080343,0.041134,0,0.0491683,0.1235521,1200
0.0490104,9.36985e-05,1200,0.0079296,0.041174497,0,0.007902,0.041202098,0,0.008021,0.041083097,0,0.0491041,0.123553395,1200
0.0488267,7.050112e-05,1200,0.0079116,0.0409856,0,0.0078941,0.0410031,0,0.0079001,0.0409971,0,0.0488972,0.12305631,1200
0.048529,8.1799924e-05,1200,0.0079258,0.040684998,0,0.0079109,0.0406999,0,0.0079185,0.0406923,0,0.0486108,0.122159,1200
0.0489684,6.650016e-05,1200,0.0079072,0.0411277,0,0.0079111,0.0411238,0,0.0079388,0.0410961,0,0.0490349,0.1234141,1200
0.0488316,3.9197505e-05,1200,0.0078967,0.0409741,0,0.0079106,0.0409602,0,0.0079621,0.040908698,0,0.0488708,0.12288219,1200
0.0491153,3.9901584e-05,1200,0.0079388,0.041216403,0,0.0079385,0.0412167,0,0.0080101,0.0411451,0,0.0491552,0.12361811,1200
0.0488843,3.4499913e-05,1200,0.0079061,0.041012697,0,0.0078869,0.041031897,0,0.0079432,0.0409756,0,0.0489188,0.1230547,1200
0.0489417,8.819997e-05,1200,0.007921,0.041108903,0,0.0079066,0.0411233,0,0.0079572,0.041072704,0,0.0490299,0.12339311,1200
0.0490416,6.6202134e-05,1200,0.0079125,0.041195303,0,0.007894,0.041213803,0,0.0079244,0.0411834,0,0.0491078,0.1236587,1200
0.0487705,6.660074e-05,1200,0.007882,0.0409551,0,0.0079257,0.0409114,0,0.0079078,0.0409293,0,0.0488371,0.1228624,1200
0.0485807,7.0899725e-05,1200,0.0079146,0.040737,0,0.0078864,0.040765196,0,0.0080217,0.040629897,0,0.0486516,0.12220299,1200
0.0489727,6.7301095e-05,1200,0.0079595,0.0410805,0,0.0079628,0.0410772,0,0.0080733,0.0409667,0,0.04904,0.1231917,1200
0.0491621,4.9699098e-05,1200,0.007932,0.0412798,0,0.0079792,0.0412326,0,0.0080554,0.0411564,0,0.0492118,0.1237185,1200
0.0484739,3.8400292e-05,1200,0.0079205,0.0405918,0,0.0079344,0.0405779,0,0.0079527,0.040559597,0,0.0485123,0.12176769,1200
0.0486346,7.1801245e-05,1200,0.0079306,0.040775802,0,0.0078961,0.040810302,0,0.0080139,0.0406925,0,0.0487064,0.1223504,1200
0.0487285,4.870072e-05,1200,0.0079268,0.0408504,0,0.0079245,0.0408527,0,0.0079785,0.0407987,0,0.0487772,0.1225505,1200
0.0489957,4.8901886e-05,1200,0.008132,0.040912602,0,0.0081058,0.040938802,0,0.0082009,0.040843703,0,0.0490446,0.12274401,1200
0.0491225,8.689985e-05,1200,0.007892,0.041317403,0,0.0079097,0.0412997,0,0.0079432,0.041266203,0,0.0492094,0.12397021,1200
0.0488696,9.85004e-05,1200,0.0079119,0.0410562,0,0.007896,0.0410721,0,0.0079489,0.0410192,0,0.0489681,0.123246,1200
0.0488881,4.7899783e-05,1200,0.0079518,0.0409842,0,0.0079207,0.041015297,0,0.0079813,0.040954698,0,0.048936,0.1230021,1200
0.0486997,3.970042e-05,1200,0.0079285,0.040810898,0,0.0079188,0.0408206,0,0.0079315,0.0408079,0,0.0487394,0.122479096,1200
